  Title : 6-trpl-0,96uw-20s-n2
  Version : 1 975 M
  Revision : 12 bits ADC
  Date : 2019-05-22
  Time : 21:53:01
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1  ( Time[ns]  No_of_photons )
1.327388 ,   50
1.331460 ,   44
1.335532 ,   43
1.339603 ,   49
1.343675 ,   32
1.347747 ,   44
1.351819 ,   50
1.355890 ,   32
1.359962 ,   37
1.364034 ,   40
1.368106 ,   46
1.372177 ,   26
1.376249 ,   40
1.380321 ,   34
1.384393 ,   48
1.388464 ,   32
1.392536 ,   44
1.396608 ,   50
1.400679 ,   41
1.404751 ,   39
1.408823 ,   41
1.412895 ,   40
1.416966 ,   41
1.421038 ,   38
1.425110 ,   36
1.429182 ,   37
1.433253 ,   49
1.437325 ,   49
1.441397 ,   36
1.445469 ,   35
1.449540 ,   43
1.453612 ,   55
1.457684 ,   29
1.461756 ,   37
1.465827 ,   35
1.469899 ,   41
1.473971 ,   30
1.478043 ,   54
1.482114 ,   41
1.486186 ,   46
1.490258 ,   43
1.494330 ,   35
1.498401 ,   35
1.502473 ,   40
1.506545 ,   34
1.510617 ,   32
1.514688 ,   27
1.518760 ,   41
1.522832 ,   42
1.526903 ,   43
1.530975 ,   33
1.535047 ,   36
1.539119 ,   30
1.543190 ,   36
1.547262 ,   43
1.551334 ,   40
1.555406 ,   49
1.559477 ,   29
1.563549 ,   41
1.567621 ,   32
1.571693 ,   50
1.575764 ,   38
1.579836 ,   37
1.583908 ,   37
1.587980 ,   44
1.592051 ,   34
1.596123 ,   40
1.600195 ,   29
1.604267 ,   42
1.608338 ,   34
1.612410 ,   56
1.616482 ,   41
1.620554 ,   39
1.624625 ,   40
1.628697 ,   46
1.632769 ,   44
1.636841 ,   32
1.640912 ,   48
1.644984 ,   38
1.649056 ,   46
1.653128 ,   43
1.657199 ,   43
1.661271 ,   37
1.665343 ,   33
1.669414 ,   41
1.673486 ,   38
1.677558 ,   35
1.681630 ,   36
1.685701 ,   36
1.689773 ,   36
1.693845 ,   25
1.697917 ,   44
1.701988 ,   45
1.706060 ,   39
1.710132 ,   41
1.714204 ,   47
1.718275 ,   29
1.722347 ,   27
1.726419 ,   36
1.730491 ,   46
1.734562 ,   42
1.738634 ,   43
1.742706 ,   44
1.746778 ,   30
1.750849 ,   36
1.754921 ,   41
1.758993 ,   32
1.763065 ,   38
1.767136 ,   28
1.771208 ,   34
1.775280 ,   27
1.779352 ,   35
1.783423 ,   32
1.787495 ,   38
1.791567 ,   37
1.795639 ,   41
1.799710 ,   36
1.803782 ,   42
1.807854 ,   26
1.811925 ,   29
1.815997 ,   37
1.820069 ,   23
1.824141 ,   33
1.828212 ,   29
1.832284 ,   36
1.836356 ,   35
1.840428 ,   39
1.844499 ,   23
1.848571 ,   33
1.852643 ,   42
1.856715 ,   40
1.860786 ,   37
1.864858 ,   40
1.868930 ,   35
1.873002 ,   38
1.877073 ,   41
1.881145 ,   40
1.885217 ,   35
1.889289 ,   30
1.893360 ,   36
1.897432 ,   42
1.901504 ,   40
1.905576 ,   30
1.909647 ,   37
1.913719 ,   37
1.917791 ,   43
1.921863 ,   28
1.925934 ,   46
1.930006 ,   28
1.934078 ,   42
1.938150 ,   34
1.942221 ,   43
1.946293 ,   35
1.950365 ,   37
1.954436 ,   43
1.958508 ,   39
1.962580 ,   46
1.966652 ,   32
1.970723 ,   38
1.974795 ,   33
1.978867 ,   34
1.982939 ,   28
1.987010 ,   37
1.991082 ,   27
1.995154 ,   29
1.999226 ,   43
2.003297 ,   33
2.007369 ,   33
2.011441 ,   35
2.015513 ,   42
2.019584 ,   25
2.023656 ,   43
2.027728 ,   34
2.031800 ,   38
2.035871 ,   42
2.039943 ,   47
2.044015 ,   36
2.048087 ,   40
2.052158 ,   37
2.056230 ,   31
2.060302 ,   29
2.064374 ,   44
2.068445 ,   28
2.072517 ,   42
2.076589 ,   38
2.080660 ,   46
2.084732 ,   37
2.088804 ,   34
2.092876 ,   39
2.096947 ,   41
2.101019 ,   35
2.105091 ,   27
2.109163 ,   40
2.113234 ,   40
2.117306 ,   37
2.121378 ,   43
2.125450 ,   36
2.129521 ,   37
2.133593 ,   33
2.137665 ,   38
2.141737 ,   28
2.145808 ,   37
2.149880 ,   38
2.153952 ,   32
2.158024 ,   41
2.162095 ,   34
2.166167 ,   34
2.170239 ,   30
2.174311 ,   32
2.178382 ,   26
2.182454 ,   38
2.186526 ,   36
2.190598 ,   32
2.194669 ,   41
2.198741 ,   32
2.202813 ,   46
2.206885 ,   27
2.210956 ,   39
2.215028 ,   30
2.219100 ,   32
2.223171 ,   29
2.227243 ,   31
2.231315 ,   34
2.235387 ,   19
2.239458 ,   30
2.243530 ,   31
2.247602 ,   37
2.251674 ,   35
2.255745 ,   34
2.259817 ,   31
2.263889 ,   39
2.267961 ,   24
2.272032 ,   44
2.276104 ,   34
2.280176 ,   38
2.284248 ,   32
2.288319 ,   47
2.292391 ,   35
2.296463 ,   36
2.300535 ,   51
2.304606 ,   40
2.308678 ,   37
2.312750 ,   45
2.316822 ,   38
2.320893 ,   34
2.324965 ,   27
2.329037 ,   40
2.333109 ,   37
2.337180 ,   42
2.341252 ,   44
2.345324 ,   35
2.349396 ,   46
2.353467 ,   37
2.357539 ,   40
2.361611 ,   44
2.365682 ,   41
2.369754 ,   29
2.373826 ,   40
2.377898 ,   35
2.381969 ,   35
2.386041 ,   25
2.390113 ,   34
2.394185 ,   31
2.398256 ,   30
2.402328 ,   26
2.406400 ,   25
2.410472 ,   36
2.414543 ,   39
2.418615 ,   47
2.422687 ,   52
2.426759 ,   42
2.430830 ,   37
2.434902 ,   32
2.438974 ,   27
2.443046 ,   44
2.447117 ,   34
2.451189 ,   34
2.455261 ,   43
2.459333 ,   43
2.463404 ,   22
2.467476 ,   33
2.471548 ,   40
2.475620 ,   27
2.479691 ,   37
2.483763 ,   35
2.487835 ,   30
