  Title : 6-trpl-0,96uw-20s-n1
  Version : 1 975 M
  Revision : 12 bits ADC
  Date : 2019-05-22
  Time : 21:54:02
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1  ( Time[ns]  No_of_photons )
1.250025 ,   52
1.254097 ,   51
1.258168 ,   45
1.262240 ,   49
1.266312 ,   56
1.270384 ,   43
1.274455 ,   49
1.278527 ,   48
1.282599 ,   43
1.286671 ,   43
1.290742 ,   56
1.294814 ,   51
1.298886 ,   52
1.302958 ,   51
1.307029 ,   45
1.311101 ,   42
1.315173 ,   67
1.319245 ,   48
1.323316 ,   47
1.327388 ,   60
1.331460 ,   46
1.335532 ,   61
1.339603 ,   45
1.343675 ,   40
1.347747 ,   42
1.351819 ,   50
1.355890 ,   43
1.359962 ,   59
1.364034 ,   52
1.368106 ,   36
1.372177 ,   43
1.376249 ,   40
1.380321 ,   51
1.384393 ,   53
1.388464 ,   55
1.392536 ,   44
1.396608 ,   52
1.400679 ,   36
1.404751 ,   45
1.408823 ,   46
1.412895 ,   47
1.416966 ,   42
1.421038 ,   48
1.425110 ,   44
1.429182 ,   38
1.433253 ,   37
1.437325 ,   49
1.441397 ,   51
1.445469 ,   39
1.449540 ,   50
1.453612 ,   49
1.457684 ,   39
1.461756 ,   43
1.465827 ,   50
1.469899 ,   42
1.473971 ,   45
1.478043 ,   58
1.482114 ,   47
1.486186 ,   52
1.490258 ,   44
1.494330 ,   45
1.498401 ,   49
1.502473 ,   38
1.506545 ,   38
1.510617 ,   49
1.514688 ,   49
1.518760 ,   45
1.522832 ,   41
1.526903 ,   45
1.530975 ,   38
1.535047 ,   42
1.539119 ,   46
1.543190 ,   52
1.547262 ,   57
1.551334 ,   57
1.555406 ,   38
1.559477 ,   48
1.563549 ,   51
1.567621 ,   46
1.571693 ,   41
1.575764 ,   47
1.579836 ,   41
1.583908 ,   38
1.587980 ,   58
1.592051 ,   58
1.596123 ,   42
1.600195 ,   49
1.604267 ,   41
1.608338 ,   49
1.612410 ,   42
1.616482 ,   51
1.620554 ,   38
1.624625 ,   53
1.628697 ,   38
1.632769 ,   54
1.636841 ,   50
1.640912 ,   53
1.644984 ,   47
1.649056 ,   42
1.653128 ,   38
1.657199 ,   58
1.661271 ,   36
1.665343 ,   31
1.669414 ,   38
1.673486 ,   48
1.677558 ,   42
1.681630 ,   31
1.685701 ,   39
1.689773 ,   45
1.693845 ,   42
1.697917 ,   48
1.701988 ,   40
1.706060 ,   50
1.710132 ,   42
1.714204 ,   34
1.718275 ,   49
1.722347 ,   44
1.726419 ,   49
1.730491 ,   54
1.734562 ,   42
1.738634 ,   36
1.742706 ,   37
1.746778 ,   44
1.750849 ,   48
1.754921 ,   51
1.758993 ,   37
1.763065 ,   53
1.767136 ,   49
1.771208 ,   39
1.775280 ,   36
1.779352 ,   39
1.783423 ,   37
1.787495 ,   41
1.791567 ,   52
1.795639 ,   48
1.799710 ,   41
1.803782 ,   37
1.807854 ,   39
1.811925 ,   38
1.815997 ,   36
1.820069 ,   42
1.824141 ,   49
1.828212 ,   34
1.832284 ,   37
1.836356 ,   38
1.840428 ,   43
1.844499 ,   53
