time (ns),FitRates_Biexp_data,FitRates_Biexp_sims
0.0,0.006678770987711049,0.0047438796065185414
0.012499999999999999,0.0062954832670279424,0.004740093515102357
0.024999999999999998,0.004810808029839944,0.004736324672015008
0.0375,0.006299462950270837,0.0047325729986781384
0.049999999999999996,0.005814723011755893,0.004728838416871367
0.0625,0.006363244922089734,0.004725120848730667
0.075,0.005446985722170443,0.004721420216746734
0.08750000000000001,0.006387917114445576,0.004717736443763375
0.09999999999999999,0.0045979669338124885,0.0047140694529759
0.11249999999999999,0.005288180202358989,0.004710419167929514
0.125,0.00567311852746008,0.004706785512517731
0.1375,0.007250227612065871,0.004703168410980785
0.15,0.00701043993850743,0.004699567787904045
0.1625,0.005737405225852148,0.00469598356821645
0.17500000000000002,0.00529113391552825,0.004692415677188944
0.1875,0.0053575924618389816,0.00468886404043291
0.19999999999999998,0.006968669247892143,0.004685328583898623
0.2125,0.004538096102121577,0.0046818092338737115
0.22499999999999998,0.005759061350436601,0.004678305916981613
0.2375,0.005498588828717629,0.004674818560180048
0.25,0.005573734766702724,0.004671347090759498
0.2625,0.004331177135485647,0.0046678914363416845
0.275,0.004638373228059566,0.004664451524878066
0.2875,0.006240926447311559,0.004661027284648333
0.3,0.006358466856668694,0.00465761864425891
0.3125,0.005209559307703826,0.004654225532641474
0.325,0.005445717055694256,0.004650847879051464
0.3375,0.005659218700780756,0.004647485613066617
0.35000000000000003,0.005414060507723694,0.0046441386645854855
0.3625,0.0035367151668442205,0.004640806963825991
0.375,0.004029464022627238,0.004637490441323957
0.38749999999999996,0.006863986178213409,0.004634189027931666
0.39999999999999997,0.0047524666997725,0.00463090265481642
0.4125,0.005190620793853212,0.004627631253459098
0.425,0.005785967745313078,0.00462437475565274
0.4375,0.004850943779376682,0.004621133093501109
0.44999999999999996,0.004779404229270656,0.004617906199417288
0.46249999999999997,0.005925139759940031,0.004614694006122264
0.475,0.007653670081433784,0.004611496446643529
0.4875,0.01125980636555716,0.005828148264135503
0.5,0.03447220851873132,0.016346186723065047
0.5125,0.103612852376734,0.06920249158640862
0.525,0.2616296525620723,0.2223727386938311
0.5375,0.5332262715762953,0.47508710573920465
0.55,0.8722207176889917,0.7029282355541199
0.5624999999999999,1.0,0.7938508562234815
0.575,0.9166866401166717,0.7706652889061495
0.5874999999999999,0.8070072483531671,0.706873181312573
0.6,0.7047419666512786,0.6404295981685781
0.6124999999999999,0.6344177047932879,0.5797546251353268
0.625,0.5496630613909772,0.5254515928721372
0.6375,0.472338014014145,0.47684836954873294
0.65,0.39636770935225824,0.4333437354331436
0.6625,0.3540342234697981,0.39439990137240655
0.675,0.3167072814094094,0.3595358166047421
0.6875,0.316068713051881,0.3283211826254397
0.7000000000000001,0.27107849411694435,0.3003710986148432
0.7125,0.2515393340059509,0.2753412717960013
0.725,0.23139309896473678,0.25292373311954697
0.7374999999999999,0.22924323014702516,0.23284300496167545
0.75,0.2125214579280216,0.21485267314595616
0.7625,0.20601792287458498,0.19873232063112486
0.7749999999999999,0.18746408672732343,0.1842847847075897
0.7875,0.18208554879374864,0.17133370357113137
0.7999999999999999,0.1883943326278397,0.15972132174329665
0.8125,0.1730772679602509,0.14930652702908104
0.825,0.1578644058136499,0.1399630945837491
0.8375,0.16496330792054376,0.13157811623791657
0.85,0.1624096491377974,0.12405059553537427
0.8625,0.1525071621687161,0.11729019100026841
0.875,0.15048038351199633,0.11121609199482266
0.8875,0.13507459748585704,0.10575601317874665
0.8999999999999999,0.14387970331764127,0.10084529505735826
0.9125,0.13800051100186023,0.09642609942561842
0.9249999999999999,0.12774869383450663,0.09244668969616389
0.9375000000000001,0.1284225777302445,0.08886078715572183
0.95,0.12783487275992034,0.08562699513914611
0.9624999999999999,0.12915248945520383,0.08270828395548223
0.975,0.1137632094732466,0.08007153015646937
0.9874999999999999,0.11270591959221107,0.07768710441412519
1.0,0.12403509451536775,0.07552850287895273
1.0125,0.11562804497011454,0.07357201743138288
1.025,0.11303086235507837,0.07179644072305323
1.0374999999999999,0.10648213374456317,0.07018280233745113
1.05,0.11001060376548898,0.06871413278669797
1.0625,0.10603560083086244,0.06737525240764586
1.075,0.11204779711318043,0.0661525825303056
1.0875,0.09960189230449179,0.06503397656878186
1.1,0.10334216191607165,0.06400856893280829
1.1125,0.10672135638555692,0.06306663987973485
1.1249999999999998,0.09819340549229202,0.062199494625183316
1.1375,0.1017084110377473,0.061399355208022074
1.15,0.09397628495169305,0.060659263764026215
1.1625,0.10171645030006884,0.05997299600455931
1.1749999999999998,0.09646730764046692,0.059334983823604415
1.1875,0.0906474502098225,0.05874024607006551
1.2,0.0927510152299085,0.058184326623869374
1.2125000000000001,0.08874699640708857,0.05766323900528654
1.2249999999999999,0.09533851226748531,0.05717341682818924
1.2375,0.09263703665113851,0.05671166948068724
1.25,0.0870654648745545,0.05627514248163085
1.2625,0.09952613824909265,0.05586128201965804
1.275,0.08379770249615631,0.05546780323350974
1.2874999999999999,0.08532122710445494,0.055092661838893935
1.3,0.08556237236701655,0.0547340287488239
1.3124999999999998,0.08423711076705935,0.05439026737160639
1.325,0.07200343893697858,0.0540599133039768
1.3375,0.07518397990296394,0.05374165616668328
1.35,0.07303675780550452,0.05343432335648248
1.3624999999999998,0.0755744781587366,0.0531368655123576
1.375,0.08154106563476445,0.052848343515101294
1.3875,0.07534808473169702,0.05256791685848689
1.4000000000000001,0.06260706775538366,0.05229483324731983
1.4124999999999999,0.07255934513023599,0.052028419292928306
1.425,0.07771592020652358,0.051768072190308885
