time (ns),FitRates_Biexp_data,FitRates_Biexp_sims
0.0,0.006678770987711049,0.00468704155788297
0.012499999999999999,0.0062954832670279424,0.004674766908612946
0.024999999999999998,0.004810808029839944,0.004662524404783247
0.0375,0.006299462950270837,0.004650313962209852
0.049999999999999996,0.005814723011755893,0.004638135496929206
0.0625,0.006363244922089734,0.004625988925197639
0.075,0.005446985722170443,0.004613874163490797
0.08750000000000001,0.006387917114445576,0.004601791128503059
0.09999999999999999,0.0045979669338124885,0.0045897397371469735
0.11249999999999999,0.005288180202358989,0.0045777199065526785
0.125,0.00567311852746008,0.004565731554067336
0.1375,0.007250227612065871,0.004553774597254567
0.15,0.00701043993850743,0.0045418489538938765
0.1625,0.005737405225852148,0.004529954541980094
0.17500000000000002,0.00529113391552825,0.004518091279722809
0.1875,0.0053575924618389816,0.004506259085545805
0.19999999999999998,0.006968669247892143,0.004494457878086506
0.2125,0.004538096102121577,0.004482687576195407
0.22499999999999998,0.005759061350436601,0.004470948098935524
0.2375,0.005498588828717629,0.004459239365581833
0.25,0.005573734766702724,0.004447561295620719
0.2625,0.004331177135485647,0.0044359138087494195
0.275,0.004638373228059566,0.0044242968248754694
0.2875,0.006240926447311559,0.004412710264116158
0.3,0.006358466856668694,0.004401154046797973
0.3125,0.005209559307703826,0.004389628093456053
0.325,0.005445717055694256,0.004378132324833647
0.3375,0.005659218700780756,0.004366666661881564
0.35000000000000003,0.005414060507723694,0.004355231025757631
0.3625,0.0035367151668442205,0.004343825337826148
0.375,0.004029464022627238,0.004332449519657353
0.38749999999999996,0.006863986178213409,0.004321103493026877
0.39999999999999997,0.0047524666997725,0.0043097871799152145
0.4125,0.005190620793853212,0.004298500502507173
0.425,0.005785967745313078,0.004287243383191353
0.4375,0.004850943779376682,0.0042760157445596025
0.44999999999999996,0.004779404229270656,0.004264817509406492
0.46249999999999997,0.005925139759940031,0.004253648600728783
0.475,0.007653670081433784,0.005458057536511792
0.4875,0.01125980636555716,0.01597441909503761
0.5,0.03447220851873132,0.06904995720878142
0.5125,0.103612852376734,0.22392951486841284
0.525,0.2616296525620723,0.48326320435747133
0.5375,0.5332262715762953,0.7262040211408606
0.55,0.8722207176889917,0.8395867165289793
0.5624999999999999,1.0,0.8407658218400502
0.575,0.9166866401166717,0.7988166812445036
0.5874999999999999,0.8070072483531671,0.750309449517206
0.6,0.7047419666512786,0.703823400245191
0.6124999999999999,0.6344177047932879,0.6604348075524434
0.625,0.5496630613909772,0.6199366677028982
0.6375,0.472338014014145,0.5821358126811147
0.65,0.39636770935225824,0.5468519854358292
0.6625,0.3540342234697981,0.5139169769326911
0.675,0.3167072814094094,0.4831738208849649
0.6875,0.316068713051881,0.4544760423070958
0.7000000000000001,0.27107849411694435,0.42768695629370823
0.7125,0.2515393340059509,0.40267901366705183
0.725,0.23139309896473678,0.37933319036028834
0.7374999999999999,0.22924323014702516,0.35753841761338473
0.75,0.2125214579280216,0.33719105025376817
0.7625,0.20601792287458498,0.3181943705162205
0.7749999999999999,0.18746408672732343,0.30045812502662606
0.7875,0.18208554879374864,0.2838980927329591
0.7999999999999999,0.1883943326278397,0.2684356817150455
0.8125,0.1730772679602509,0.25399755294289267
0.825,0.1578644058136499,0.24051526918238625
0.8375,0.16496330792054376,0.22792496736754952
0.85,0.1624096491377974,0.21616705287089524
0.8625,0.1525071621687161,0.20518591420824114
0.875,0.15048038351199633,0.1949296568121811
0.8875,0.13507459748585704,0.18534985459969627
0.8999999999999999,0.14387970331764127,0.17640131814457388
0.9125,0.13800051100186023,0.16804187834479734
0.9249999999999999,0.12774869383450663,0.16023218454924854
0.9375000000000001,0.1284225777302445,0.15293551617728599
0.95,0.12783487275992034,0.14611760692935788
0.9624999999999999,0.12915248945520383,0.1397464807470854
0.975,0.1137632094732466,0.13379229873750198
0.9874999999999999,0.11270591959221107,0.12822721632862202
1.0,0.12403509451536775,0.12302524997249376
1.0125,0.11562804497011454,0.11816215275759913
1.025,0.11303086235507837,0.11361529833511373
1.0374999999999999,0.10648213374456317,0.10936357260334287
1.05,0.11001060376548898,0.10538727263178964
1.0625,0.10603560083086244,0.10166801234097057
1.075,0.11204779711318043,0.09818863448643513
1.0875,0.09960189230449179,0.0949331285256275
1.1,0.10334216191607165,0.09188655397439018
1.1125,0.10672135638555692,0.08903496888619178
1.1249999999999998,0.09819340549229202,0.08636536311168398
1.1375,0.1017084110377473,0.08386559601907861
1.15,0.09397628495169305,0.08152433837719127
1.1625,0.10171645030006884,0.0793310181229251
1.1749999999999998,0.09646730764046692,0.0772757697535661
1.1875,0.0906474502098225,0.07534938710161268
1.2,0.0927510152299085,0.07354327926605708
1.2125000000000001,0.08874699640708857,0.07184942948914641
1.2249999999999999,0.09533851226748531,0.07026035678175248
1.2375,0.09263703665113851,0.0687690801136376
1.25,0.0870654648745545,0.06736908499718361
1.2625,0.09952613824909265,0.06605429230460828
1.275,0.08379770249615631,0.0648190291693871
1.2874999999999999,0.08532122710445494,0.06365800183257529
1.3,0.08556237236701655,0.06256627030403626
1.3124999999999998,0.08423711076705935,0.061539224717271045
1.325,0.07200343893697858,0.06057256326465148
1.3375,0.07518397990296394,0.0596622716074253
1.35,0.07303675780550452,0.05880460366192201
1.3624999999999998,0.0755744781587366,0.05799606366997645
1.375,0.08154106563476445,0.05723338946773523
1.3875,0.07534808473169702,0.05651353687274784
1.4000000000000001,0.06260706775538366,0.05583366511459857
1.4124999999999999,0.07255934513023599,0.055191123239330106
1.425,0.07771592020652358,0.054583437422572795
