A1,0.9422784047880154 
tau1,1.8069635097705326e-10 
tau2,4.766838391849972e-09 
offset,0 
Model type,Biexp 
Sum of Sq. of Residuals,7.576744345999347 
No. of DE Evaluations,2867 
No. of DE Iterations,58 
No. of LS Evaluations,29 
A1_bounds,0, 1 
tau1_bounds,1e-10, 1e-06 
tau2_bounds,1e-10, 1e-06 
A1_error,0.0008641794449581622 
tau1_error,3.977774092346297e-12 
tau2_error,4.545793125621521e-11 
comparison,log 
absolute,True 
time_limits,None 
norm_comp,False 
roll_criterion,steep 
