time (ns),n=1_data,n=1_sims,n=1_1x,n=1_1e,n=1_1h,n=1_2x,n=1_2e,n=1_2h
0.0,0.002127594964459872,220579607632.2528,5034.211139668179,124.65405320482054,124.65405320482054,5034.211139668179,4362.626071860504,4362.626071860504
0.012499999999999997,0.002080449141729889,220306767256.2591,3083.0164720728035,1382.4616489316006,1382.4616489316006,4838.207792154914,5178.40206553355,5178.40206553355
0.024999999999999994,0.0017042666812413026,220034432896.4384,1888.0794435051725,2138.1057855204576,2138.1057855204576,4430.681742285581,5961.233153094337,5961.233153094337
0.0375,0.0017975203398000591,219762603302.077,1156.2844432647653,2574.664946362208,2574.664946362208,3940.705946049853,6676.601749290603,6676.601749290603
0.04999999999999999,0.001693425164220977,219491277226.3242,708.1236535545414,2812.5127490855502,2812.5127490855502,3439.6133501294867,7311.059442879248,7311.059442879248
0.062499999999999986,0.0018780089380453764,219220453426.1766,433.66414868267236,2928.502629989718,2928.502629989718,2964.6395181031594,7862.822022632501,7862.822022632501
0.075,0.0017888698381014632,218950130662.46497,265.581573089172,2970.7805769392585,2970.7805769392585,2533.194752527689,8336.205358060151,8336.205358060151
0.0875,0.0017907871460369144,218680307699.83948,162.6456145355266,2969.1369121716743,2969.1369121716743,2151.431492307096,8738.383748992817,8738.383748992817
0.09999999999999998,0.0014916582799127701,218410983306.75583,99.60629278582141,2941.8472781886117,2941.8472781886117,1819.3464047394123,9077.545209364398,9077.545209364398
0.11249999999999998,0.0015918347367216879,218142156255.4611,61.000191064897415,2900.0486253780105,2900.0486253780105,1533.7839795095874,9361.88043660713,9361.88043660713
0.12499999999999997,0.0019907226016414353,217873825321.9797,37.357311530056904,2850.4848230963244,2850.4848230963244,1290.1747932576773,9599.06365494611,9599.06365494611
0.13749999999999998,0.00201877059933174,217605989286.0996,22.878104156575393,2797.209475448987,2797.209475448987,1083.5154419402431,9796.018772546395,9796.018772546395
