time (ns),perovskite_data,perovskite_sims,perovskite_x,perovskite_e,perovskite_h
0.0,0.016717256004526816,19697681062.43328,12585.527849170447,232.6395647143835,232.6395647143835
0.0012499999999999998,0.016717256004526816,19693689236.178265,12225.923399281975,453.1563465712678,453.1563465712678
0.0024999999999999996,0.016717256004526816,19689698623.284534,11876.59387484195,667.3086221545743,667.3086221545743
0.00375,0.016717256004526816,19685709223.2603,11537.245691905558,875.2394422065815,875.2394422065815
0.004999999999999999,0.016717256004526816,19681721035.618664,11207.593655059181,1077.0900189276756,1077.0900189276756
0.006249999999999999,0.016717256004526816,19677734059.87201,10887.360717736117,1272.9996770337168,1272.9996770337168
0.0075,0.016717256004526816,19673748295.51446,10576.277749380768,1463.1058095051505,1463.1058095051505
0.008749999999999999,0.016717256004526816,19669763742.06846,10274.083309265612,1647.5438378846654,1647.5438378846654
0.009999999999999998,0.016717256004526816,19665780399.03659,9980.52342677087,1826.4471769745428,1826.4471769745428
0.01125,0.016717256004526816,19661798265.937744,9695.351387942199,1999.9472037802645,1999.9472037802645
0.012499999999999997,0.016717256004526816,19657817342.269524,9418.327528147061,2168.1732305433943,2168.1732305433943
0.013749999999999998,0.016717256004526816,19653837627.553318,9149.219030655475,2331.252481704137,2331.252481704137
0.015,0.016717256004526816,19649859121.289207,8887.799730975894,2489.310074632239,2489.310074632239
0.016249999999999997,0.016717256004526816,19645881822.99328,8633.849926781773,2642.46900396396,2642.46900396396
0.017499999999999998,0.016717256004526816,19641905732.17603,8387.156193269067,2790.850129382648,2790.850129382648
0.01875,0.016717256004526816,19637930848.356277,8147.511203789503,2934.572166680913,2934.572166680913
0.019999999999999997,0.006399867056025229,19633957171.03332,7914.713555608859,3073.751681943475,3073.751681943475
0.021249999999999998,0.03332326849295617,19629984699.727036,7688.567600643834,3208.5030886913833,3208.5030886913833
0.0225,0.009080016369083935,19626013433.942196,7468.883281035253,3338.938647830416,3338.938647830416
0.023749999999999997,0.016717256004526816,19622043373.202003,7255.475969419403,3465.1684702490134,3465.1684702490134
0.024999999999999994,0.0036959996074523976,19618074517.001083,7048.166313763278,3587.300521914028,3587.300521914028
0.02625,0.036023818312757715,19614106864.872574,6846.780086633332,3705.4406313158343,3705.4406313158343
0.027499999999999997,0.021650628191396785,19610140416.314068,6651.14803877104,3819.6924991179,3819.6924991179
0.028749999999999994,0.016717256004526816,19606175170.85122,6461.105756852233,3930.157709869709,3930.157709869709
0.03,0.000992132158879466,19602211127.990253,6276.4935253106505,4036.935745645941,4036.935745645941
0.031249999999999993,0.04182763152198112,19598248287.246708,6097.156192109591,4140.124001478973,4140.124001478973
0.032499999999999994,0.03379431357446057,19594286648.1309,5922.943038348846,4239.817802456091,4239.817802456091
0.033749999999999995,0.019820519393948563,19590326210.155216,5753.707651597341,4336.110422357209,4336.110422357209
0.034999999999999996,0.01583968499051608,19586366972.8446,5589.30780284502,4429.0931037133705,4429.0931037133705
0.03625,0.007277438070035529,19582408935.71015,5429.605326970564,4518.855079170871,4518.855079170871
0.0375,0.03507625697247702,19578452098.26251,5274.466006624501,4605.483594050379,4605.483594050379
0.03874999999999999,-0.0025893063037040857,19574496460.01565,5123.7594594300845,4689.063929995006,4689.063929995006
0.039999999999999994,0.016717256004526816,19570542020.49163,4977.359028407189,4769.679429605853,4769.679429605853
0.041249999999999995,0.041004626770655035,19566588779.204063,4835.14167552709,4847.411521968035,4847.411521968035
0.042499999999999996,0.003759354676179915,19562636735.66416,4696.987878308696,4922.3397489746985,4922.3397489746985
0.04375,0.009032580098056762,19558685889.39491,4562.781529369318,4994.54179236093,4994.54179236093
0.045,0.0019352990961387206,19554736239.90436,4432.409838845564,5064.093501363802,5064.093501363802
0.04624999999999999,0.001869703172889891,19550787786.722973,4305.763239602341,5131.068920929038,5131.068920929038
0.047499999999999994,0.03770573969175783,19546840529.35198,4182.735295150312,5195.540320388954,5195.540320388954
0.048749999999999995,0.013610180252219288,19542894467.31698,4063.2226101944107,5257.578222540371,5257.578222540371
0.04999999999999999,-0.0025893063037040857,19538949600.131184,3947.1247437382435,5317.251433055154,5317.251433055154
0.05125,0.014962113976505658,19535005927.324844,3834.3441246713423,5374.627070159854,5374.627070159854
0.0525,0.014561553955386459,19531063448.39681,3724.785969768335,5429.770594524668,5429.770594524668
0.05374999999999999,-0.0017828896962345056,19527122162.87828,3618.3582040311094,5482.7458393055085,5482.7458393055085
0.05499999999999999,0.007324874341062848,19523182070.278038,3514.9713833070336,5533.615040286457,5533.615040286457
0.056249999999999994,-0.0006941836231421386,19519243170.12835,3414.538619118191,5582.438866073233,5582.438866073233
0.05749999999999999,0.013491589574651025,19515305461.936153,3316.9755056384593,5629.276448291527,5629.276448291527
0.05874999999999999,0.06544559792849264,19511368945.22513,3222.200048757064,5674.185411747146,5674.185411747146
0.06,0.02264678988297574,19507433619.515472,3130.132597168987,5717.2219045078955,5717.2219045078955
0.06124999999999999,0.06734072060905434,19503499484.32421,3040.6957754343216,5758.440627869985,5758.440627869985
0.062499999999999986,0.036023818312757715,19499566539.168617,2953.8144189503078,5797.894866174445,5797.894866174445
0.06375,0.01740423797623007,19495634783.578903,2869.4155107814086,5835.636516441673,5835.636516441673
0.06499999999999999,0.04399311184539378,19491704217.06142,2787.4281202943253,5871.716117794707,5871.716117794707
0.06624999999999999,0.04263305866122006,19487774839.151,2707.7833435463904,5906.182880644183,5906.182880644183
0.06749999999999999,0.03339110527072619,19483846649.357037,2630.41424537723,5939.084715610195,5939.084715610195
