  Title : 8-trpl-1,01uw-20s
  Version : 1 975 M
  Revision : 12 bits ADC
  Date : 2019-05-24
  Time : 14:14:59
  Author : Unknown
  Company : Unknown
  Contents :
  
*BLOCK 1  ( Time[ns]  No_of_photons )
1.254097 ,  103
1.258168 ,  107
1.262240 ,   98
1.266312 ,  102
1.270384 ,  119
1.274455 ,  102
1.278527 ,   97
1.282599 ,  113
1.286671 ,   86
1.290742 ,  103
1.294814 ,   92
1.298886 ,  107
1.302958 ,   91
1.307029 ,  105
1.311101 ,   87
1.315173 ,   86
1.319245 ,   95
1.323316 ,  103
1.327388 ,   87
1.331460 ,   97
1.335532 ,   99
1.339603 ,   89
1.343675 ,   97
1.347747 ,  105
1.351819 ,   87
1.355890 ,  105
1.359962 ,   91
1.364034 ,  112
1.368106 ,  106
1.372177 ,   95
1.376249 ,  103
1.380321 ,   91
1.384393 ,   98
1.388464 ,  117
1.392536 ,  109
1.396608 ,   98
1.400679 ,  108
1.404751 ,   93
1.408823 ,   96
1.412895 ,   94
1.416966 ,  119
1.421038 ,  115
1.425110 ,  129
1.429182 ,   92
1.433253 ,  116
1.437325 ,   85
1.441397 ,   85
1.445469 ,   99
1.449540 ,   90
1.453612 ,   91
1.457684 ,  120
1.461756 ,   98
1.465827 ,   97
1.469899 ,   89
1.473971 ,  109
1.478043 ,  102
1.482114 ,  102
1.486186 ,   94
1.490258 ,  117
1.494330 ,  110
1.498401 ,   99
1.502473 ,  102
1.506545 ,  103
1.510617 ,  104
1.514688 ,   72
1.518760 ,  104
1.522832 ,   99
1.526903 ,   95
1.530975 ,  102
1.535047 ,  104
1.539119 ,  106
1.543190 ,   88
1.547262 ,  109
1.551334 ,   91
1.555406 ,   82
1.559477 ,   81
1.563549 ,   90
1.567621 ,   99
1.571693 ,  127
1.575764 ,   87
1.579836 ,   95
1.583908 ,  105
1.587980 ,   95
1.592051 ,   93
1.596123 ,   93
1.600195 ,  100
1.604267 ,  103
1.608338 ,  108
1.612410 ,   91
1.616482 ,  108
1.620554 ,  113
1.624625 ,   96
1.628697 ,  106
1.632769 ,   85
1.636841 ,   85
1.640912 ,  117
1.644984 ,   90
1.649056 ,   83
1.653128 ,  110
1.657199 ,   96
1.661271 ,   98
1.665343 ,  102
1.669414 ,  102
1.673486 ,  111
1.677558 ,   98
1.681630 ,   91
1.685701 ,  110
1.689773 ,  100
1.693845 ,  104
1.697917 ,  108
1.701988 ,  102
1.706060 ,  105
1.710132 ,  104
1.714204 ,   82
1.718275 ,   96
1.722347 ,  113
1.726419 ,  107
1.730491 ,   97
1.734562 ,  119
1.738634 ,  102
1.742706 ,   86
